Time,FPR
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 0.0
30, 0.0
31, 0.0
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 0.0
46, 0.0
47, 0.0
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.00018221574344023323
55, 0.0
56, 0.0
57, 0.0003456022118541559
58, 0.0
59, 0.00033405712376816435
60, 0.0
61, 0.00016168148746968473
62, 0.0
63, 0.00015666614444618518
64, 0.0
65, 0.0
66, 0.0004489673750374139
67, 0.0001474708745022858
68, 0.0005813108559802354
69, 0.0
70, 0.00014122299110295156
71, 0.00041782729805013927
72, 0.00013736263736263736
73, 0.00027100271002710027
74, 0.00040106951871657755
75, 0.00013192612137203166
76, 0.0001302252897512697
77, 0.0001285512276642242
78, 0.0
79, 0.00012532898859506203
80, 0.0002475860361475613
81, 0.000611396429444852
82, 0.00012081672103419114
83, 0.0001193744777366599
84, 0.00047192071731949034
85, 0.00023323615160349855
86, 0.00023057412958266084
87, 0.0003419193070435377
88, 0.000225377507324769
89, 0.0005572272372673577
90, 0.00011021712774165106
91, 0.00043606235691703914
92, 0.00021570319240724764
93, 0.0009603072983354673
94, 0.00010558547143912998
95, 0.00031344687075540695
96, 0.0007238883143743537
97, 0.0004095004095004095
98, 0.0010133765707336846
99, 0.0004013243704223939
100, 0.0006953412138670905
101, 0.0010819317399429528
102, 0.0001948178453146308
103, 0.0008683068017366136
104, 0.00095565749235474
105, 0.0007573605983148727
106, 0.00037516413430876007
107, 0.0008363534987454698
108, 0.0009208103130755065
109, 0.0010948905109489052
110, 0.0006329686228411248
111, 0.0008961376467425397
112, 0.0005329070077271516
113, 0.0009683951052029228
114, 0.0009600279280851807
115, 0.0010384215991692627
116, 0.0011154011154011153
117, 0.0011910838863365663
118, 0.0009280350966000168
119, 0.001004016064257028
120, 0.0009957679860592482
121, 0.0014814814814814814
122, 0.0014693877551020407
123, 0.0010526315789473684
124, 0.0009638554216867469
125, 0.0018329614281160345
126, 0.00166073546856465
127, 0.0013339610797237916
128, 0.0017128620367486765
129, 0.0013906056860321385
130, 0.0012268997776244152
131, 0.0015981735159817352
132, 0.0013596193065941536
133, 0.001349527665317139
134, 0.0012650692067271915
135, 0.0014773230905599055
136, 0.0012465170846165127
137, 0.0016741883825884408
138, 0.0020234137881196706
139, 0.0015068886337543054
140, 0.0016387602422515142
141, 0.0016979129819596746
142, 0.0014049877063575693
143, 0.001325519743267755
144, 0.001316518847006652
145, 0.0015139003578309937
146, 0.0019820928166222403
147, 0.001697677577074562
148, 0.0014838796708485094
149, 0.0018760469011725293
150, 0.001997070962588204
151, 0.0020504001587406573
152, 0.0017740981667652277
153, 0.0023504831548707234
154, 0.0018812844631852091
155, 0.001675797615211086
156, 0.0017932624567695659
157, 0.0017818505791014382
158, 0.002086758568357152
159, 0.0020109344561050715
160, 0.0022483137646764927
161, 0.0023584905660377358
162, 0.0020972119417715274
163, 0.002268546903740037
164, 0.002559726962457338
165, 0.0021201841531378724
166, 0.002348548717331085
167, 0.0022750404119020536
168, 0.0017853954650955187
169, 0.003135723583007928
170, 0.0021173979531819787
171, 0.0020467836257309943
172, 0.0025
173, 0.0026595744680851063
174, 0.002471832605196597
175, 0.002514860539551898
176, 0.0026712134129013923
177, 0.0022606533288120267
178, 0.002472743621445431
179, 0.0026827632461435278
180, 0.0032795997776542524
181, 0.002377266696152145
182, 0.0029143297041680414
183, 0.0030626196335794367
184, 0.002175923407496056
185, 0.0031926406926406927
186, 0.002691210506485817
187, 0.00256986829424992
188, 0.002343167536478858
189, 0.0023307553766288803
190, 0.0030564924114671165
191, 0.002568807339449541
192, 0.0022946544980443286
193, 0.0023865110246433204
194, 0.0027870967741935484
195, 0.0025673940949935813
196, 0.002912026157147236
197, 0.0027955677543966655
198, 0.0025285728734702135
199, 0.002767574095506466
200, 0.0031043460845183255
201, 0.0027899561578318055
202, 0.0026275345793465867
203, 0.002812037493833251
204, 0.002553149702950852
205, 0.002687383953874719
206, 0.0028201886608966256
207, 0.0025645988580276784
208, 0.002841456366788673
209, 0.003259358673249293
210, 0.002909888851786481
211, 0.00251661918328585
212, 0.0029304721841470907
213, 0.0030109145652992097
214, 0.0029970965627048795
215, 0.002936789110572441
216, 0.0031554524361948957
217, 0.0028638736200286385
218, 0.0030807430568328123
219, 0.0031125554996109307
220, 0.002870682584525654
221, 0.0024498684329915615
222, 0.002845528455284553
223, 0.002788020505441137
224, 0.0029993732652878503
225, 0.002317703690497415
226, 0.002840026625249612
227, 0.0029158383035122596
228, 0.002903140670361573
229, 0.0031096706377014716
230, 0.0030962452575116653
231, 0.0033868866695614414
232, 0.002767208578346593
233, 0.003186221743810549
234, 0.0028727007674827425
235, 0.0029460740361214295
236, 0.0029337982057060247
237, 0.0030485223134897113
238, 0.00311999325406864
239, 0.0030233046399328156
240, 0.00326209694282966
241, 0.0030406531156281238
242, 0.0031524805043968806
243, 0.002768251869602942
244, 0.0030448915771715424
245, 0.0030326625957952545
246, 0.002979591836734694
247, 0.00280499207284849
248, 0.002631898611167348
249, 0.0028231498285944748
250, 0.003012653143201446
251, 0.00316101152368758
252, 0.0031487903065088286
253, 0.003215689388225019
254, 0.002728890646628436
255, 0.0027970375039394896
256, 0.003178589648000628
257, 0.002853568915643812
258, 0.002998442367601246
259, 0.0030257186081694403
260, 0.002782608695652174
261, 0.002926115581565472
262, 0.0029917152500767105
263, 0.0028659864725438496
264, 0.00293154648595142
265, 0.002958692106361188
266, 0.0028342528909379486
267, 0.0030495839765069086
268, 0.0030381456059412624
269, 0.003250999588954075
270, 0.002904054506869206
271, 0.002559726962457338
272, 0.0029569395675475884
273, 0.0029461589452750977
274, 0.0030089534713048584
275, 0.0027786918211399948
276, 0.0027324395220052465
277, 0.002977054893987801
278, 0.0029304294345356536
279, 0.002775975196481361
280, 0.0030175665481194094
281, 0.0027564974582945513
282, 0.0027112839356426815
283, 0.0028439388553146107
284, 0.0027987387961880467
285, 0.002859765569834769
286, 0.002990535833655842
287, 0.002699765085375688
288, 0.003179483595961008
289, 0.0029945332358369023
290, 0.0031577486293288917
291, 0.002973926274292828
292, 0.0028606879437512926
293, 0.0027480076944215444
294, 0.0029784320438206095
295, 0.002968371489986011
296, 0.00275472724799347
297, 0.0030845366415836214
298, 0.0028714276062428213
